"Offers","Offers"
"Add New Rule","Add New Rule"
"Delete","Delete"
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save","Save"
"Conditions","Conditions"
"Apply the rule only if the following conditions are met","Apply the rule only if the following conditions are met"
"Colissimo","Colissimo"
"Rules","Rules"
"You deleted the rule.","You deleted the rule."
"We can't delete the rule right now.","We can't delete the rule right now."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists","This rule no longer exists"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"New Colissimo Rule","New Colissimo Rule"
"The wrong rule is specified.","The wrong rule is specified."
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Subtotal excl. tax","Subtotal excl. tax"
"Subtotal excl. tax with discount","Subtotal excl. tax with discount"
"Subtotal incl. tax","Subtotal incl. tax"
"Subtotal incl. tax with discount","Subtotal incl. tax with discount"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Quantity in cart","Quantity in cart"
"Price in cart","Price in cart"
"Row total in cart","Row total in cart"
"Cart Item Attribute","Cart Item Attribute"
"Product Attribute","Product Attribute"
"FOUND","FOUND"
"NOT FOUND","NOT FOUND"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","total quantity"
"total amount","total amount"
"is","is"
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Please choose a condition to add.","Please choose a condition to add."
"Active","Active"
"Inactive","Inactive"
"Rule with id ""%1"" does not exist.","Rule with id ""%1"" does not exist."
"Apply custom price","Apply custom price"
"Hide shipping method","Hide shipping method"
"ID","ID"
"Rule","Rule"
"Method","Method"
"Action","Action"
"Start","Start"
"End","End"
"Status","Status"
"Website","Website"
"Priority","Priority"
"Colissimo Rule","Colissimo Rule"
"Back","Back"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Description","Description"
"Websites","Websites"
"Customer Groups","Customer Groups"
"From","From"
"To","To"
"Actions","Actions"
"Shipping Amount","Shipping Amount"
"ALL","ALL"
"ANY","ANY"
"TRUE","TRUE"
"FALSE","FALSE"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"None","None"
"Cart Price Rule","Cart Price Rule"
"Apply only if the specified rule is valid","Apply only if the specified rule is valid"
