"Offers","Offres"
"Add New Rule","Ajouter une nouvelle règle"
"Delete","Supprimer"
"Are you sure you want to delete this?","Confirmer la suppression?"
"Reset","Réinitialiser"
"Save and Continue Edit","Enregistrer et continuer"
"Save","Enregistrer"
"Conditions","Conditions"
"Apply the rule only if the following conditions are met","Appliquer la règle uniquement si les conditions suivantes sont remplies"
"Colissimo","Colissimo"
"Rules","Règles"
"You deleted the rule.","La règle a été supprimée."
"We can't delete the rule right now.","Impossible de supprimer la règle."
"We can't find a rule to delete.","Impossible de trouver la règle à supprimer."
"This rule no longer exists","Cette règle n'existe plus"
"Edit Rule","Editer la règle"
"New Rule","Nouvelle règle"
"New Colissimo Rule","Nouvelle règle Colissimo"
"The wrong rule is specified.","Règle incorrect."
"You saved the rule.","La règle a été enregistrée."
"Something went wrong while saving the rule data. Please review the error log.","Une erreur s'est produite lors de l'enregistrement. Consulter les logs puis réessayer."
"Subtotal excl. tax","Sous-total HT"
"Subtotal excl. tax with discount","Sous-total HT avec remises"
"Subtotal incl. tax","Sous-total TTC"
"Subtotal incl. tax with discount","Sous-total TTC avec remises"
"Total Items Quantity","Quantité totale des produits"
"Total Weight","Poids total"
"Payment Method","Méthode de paiement"
"Shipping Method","Méthode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","Etat/Province de livraison"
"Shipping Country","Pays de livraison"
"Product attribute combination","Combinaison d'attributs de produits"
"Products subselection","Sous-sélection de produits"
"Conditions combination","Combinaison de conditions"
"Cart Attribute","Attribut panier"
"Quantity in cart","Quantité dans le panier"
"Price in cart","Prix dans le panier"
"Row total in cart","Prix total dans le panier"
"Cart Item Attribute","Attribut produit du panier"
"Product Attribute","Attribut produit"
"FOUND","TROUVÉ"
"NOT FOUND","NON TROUVÉ"
"If an item is %1 in the cart with %2 of these conditions true:","Un produit est %1 dans le panier avec %2 ces conditions vraies :"
"total quantity","Quantité totale"
"total amount","Prix total"
"is","est"
"is not","n'est pas"
"equals or greater than","Supérieur ou égale à"
"equals or less than","Inférieur ou égale à"
"greater than","Strictement supérieur à"
"less than","Strictement inférieur à"
"is one of","Fait partie de"
"is not one of","Ne fait pas partie de"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Si %1 %2 %3 pour une sous-sélection de produit dans le panier correspondant à %4 ces conditions :"
"Please choose a condition to add.","Sélectionner une condition à ajouter."
"Active","Active"
"Inactive","Inactive"
"Rule with id ""%1"" does not exist.","La règle avec l'identifiant ""%1"" n'existe pas."
"Apply custom price","Appliquer un prix spécifique"
"Hide shipping method","Ne pas afficher la méthode"
"ID","ID"
"Rule","Règle"
"Method","Méthode"
"Action","Action"
"Start","Début"
"End","Fin"
"Status","Statut"
"Website","Site web"
"Priority","Priorité"
"Colissimo Rule","Règle Colissimo"
"Back","Retour"
"Rule Information","Informations"
"Rule Name","Nom de la règle"
"Description","Description"
"Websites","Sites web"
"Customer Groups","Groupes client"
"From","De"
"To","à"
"Actions","Actions"
"Shipping Amount","Montant"
"ALL","TOUTES"
"ANY","UNE DE"
"TRUE","VRAIES"
"FALSE","FAUSSES"
"If %1 of these conditions are %2:","Si %1 ces conditions sont %2 :"
"None","Aucune"
"Cart Price Rule","Règle de prix panier"
"Apply only if the specified rule is valid","Appliquer uniquement si la règle spécifiée est valide"
